"Blanket Ban",17:00:00,"Underbelly Cowgate",01:00:00," 16  17  18  19  20  21  22",2,"-","https://tickets.edfringe.com/whats-on/blanket-ban"
"BOGEYMAN",15:55:00,"Pleasance Dome",01:10:00," 16  17  18  19  20  21","-","-","https://tickets.edfringe.com/whats-on/bogeyman"
"Boris the Third",16:10:00,"Pleasance Courtyard",01:00:00," 16  17  18  19  20  21  22","-","-","https://tickets.edfringe.com/whats-on/boris-the-third"
"Deaf Ears",12:45:00,"Pleasance Courtyard",01:00:00,,"-","-","https://tickets.edfringe.com/whats-on/deaf-ears"
"Exodus","10:30 12:00 13:15 14:30 15:00 16:30 18:00 19:30 21:15","Traverse Theatre",01:25:00," 16  17  18  19  20  21","-","-","https://tickets.edfringe.com/whats-on/exodus"
"Feeling Afraid as If Something Terrible Is Going to Happen",19:00:00,"ROUNDABOUT @ Summerhall",01:00:00," 17  18  19  20  21  22","-","-","https://tickets.edfringe.com/whats-on/feeling-afraid-as-if-something-terrible-is-going-to-happen"
"Ghosts of the Near Future",12:00:00,"Summerhall",01:00:00," 16  17  18  19  20  21","-","-","https://tickets.edfringe.com/whats-on/ghosts-of-the-near-future"
"Half-Empty Glasses","11:20 14:20","ROUNDABOUT @ Summerhall",01:10:00," 17  18  19  21  22","-","-","https://tickets.edfringe.com/whats-on/half-empty-glasses"
"Hungry",17:25:00,"ROUNDABOUT @ Summerhall",01:10:00," 17  18  19  20  21  22","-","-","https://tickets.edfringe.com/whats-on/hungry"
"Lara Ricote: GRL/LATNX/DEF",15:20:00,"Monkey Barrel Comedy (The Hive)",01:00:00," 16  18  19  20  21  22","-","-","https://tickets.edfringe.com/whats-on/lara-ricote-grl-latnx-def"
"Last Return","10:30 11:00 12:00 13:15 13:30 15:00 16:30 18:00 19:30 21:15 21:30","Traverse Theatre",01:15:00," 16  17  18  19  20  21","-","-","https://tickets.edfringe.com/whats-on/last-return"
"Manic Street Creature",15:55:00,"ROUNDABOUT @ Summerhall",01:10:00," 17  18  19  20  21  22","-","-","https://tickets.edfringe.com/whats-on/manic-street-creature"
"Mistake",10:45:00,"theSpace on North Bridge",01:20:00," 16  17  18  19  20  21  22","-","-","https://tickets.edfringe.com/whats-on/mistake"
"Nish Kumar: Your Power Your Control",21:00:00,"Assembly George Square",01:00:00,22,"-","-","https://tickets.edfringe.com/whats-on/nish-kumar-your-power-your-control"
"Patti Harrison",20:30:00,"Pleasance Courtyard",01:00:00,,"-","-","https://tickets.edfringe.com/whats-on/patti-harrison"
"Psychodrama","10:30 11:00 13:00 13:30 16:00 18:30","Traverse Theatre",01:05:00," 16  17  18  19  20  21","-","-","https://tickets.edfringe.com/whats-on/psychodrama"
"Speed Dial",14:20:00,"Pleasance Dome",01:15:00," 17  18  19  20  21  22","-","-","https://tickets.edfringe.com/whats-on/speed-dial"
"Spoons",18:00:00,"Gilded Balloon Patter Hoose",01:15:00," 16  17  18  19  20  21  22","-","-","https://tickets.edfringe.com/whats-on/spoons"
"What the Heart Wants",14:00:00,"Gilded Balloon Patter Hoose",01:00:00," 17  18  19  20  21  22","-","-","https://tickets.edfringe.com/whats-on/what-the-heart-wants"
